source_id,transit_reference_time,transit_period,transit_depth,transit_duration,ra,dec,parallax,phot_g_mean_mag
4906145613282734208,2171.8390384331396,0.6915629322268326,14.640733,0.07792542,5.6185189760124015,-59.94258995385615,2.9122785617896505,12.073773
3435282862461427072,2252.683603272631,0.8353660574063555,19.006577,0.04282023,97.6366447703347,29.67226537027133,2.4212933800707614,11.498614
2102117871259036672,2250.579292737783,0.9326618168252191,8.263827,0.108016446,288.58149231051897,41.08973056538066,1.0318944321892676,12.854568
4287820848378092672,2173.0731965183927,1.2899730395634732,26.178923,0.12269424,291.7770452207228,1.3836617432734073,4.689528477580811,12.236511
1757302881526250496,2308.5653343820804,1.1986527143490717,10.904112,0.11812449,315.9054901279951,11.98936655351918,1.321517735698301,12.981092
846946629987527168,2163.648953545585,2.8549404744911064,13.47187,0.08366295,155.68145370147047,50.12872314718098,12.27305537594609,9.525489
1334573817793362560,2192.312123608749,6.454527851287677,24.789534,0.09607157,256.34637374627954,33.01231999522879,6.1862524703442,12.358197
2133599775377340672,2208.014222148339,3.0360992197225007,14.799976,0.046761,286.24344650669525,50.04036753869247,1.135090825854849,13.347803
2562569564026683520,2219.6243181084888,0.7508578550994511,5.669346,0.037827365,19.550586423134728,2.702782690135657,2.5854205890425495,10.918823
2323985539482908416,2299.9589702062767,1.0682505261133841,14.86971,0.13219108,354.1687107845069,-34.61130544226655,4.2443413404097505,11.39399
5583523425437258240,2215.3053359951855,0.5439394269054197,15.387405,0.074184,101.11491919531099,-32.85838790104288,2.772145517921417,12.517786
4919771654727611008,2188.384054928885,1.623165822620439,9.737176,0.037086543,6.7026454964554425,-56.316101123846344,2.203254882678662,13.515613
6077185317188247936,2117.9365759602265,1.1150509578287728,7.461273,0.036193322,185.32468176228136,-52.840815720867845,3.3231349951097027,10.710564
2134884520357421824,2196.9054864262353,1.0050655302725737,25.356405,0.1441518,296.5073736919503,49.457229384010674,0.7893575184924194,14.122548
