pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
2MASS J0213+3648 (AB)b,12.3299,20023.289999999997,360.0,,,1300.0,3300.0,0.214,0.26,ExoplanetEU
2MASS J0219-39 b,16.14096,4417.8369999999995,156.0,,,,3064.0,0.27,0.11,ExoplanetEU
2MASS J02192210-3925225 b,16.14096,4417.8369999999995,156.0,,,,3064.0,0.281,0.108,NASA
2MASS J0223-5815,,7024.043,,,,,,,,ExoplanetEU
2MASS J0226-5327,,4354.271,,,,1800.0,,,,ExoplanetEU
2MASS J0234-6442,18.15858,6216.7548,,,,1850.0,,,,ExoplanetEU
2MASS J0241-0326,15.804689999999999,8692.6505,,,,1788.0,,,,ExoplanetEU
2MASS J0243-2453,10.53646,13854.209700000001,,,,972.0,,,,ExoplanetEU
2MASS J0249-0557 (AB)b,,3686.8279999999995,,,,,,,,ExoplanetEU
2MASS J0249-0557 c,12.44199,3686.8279999999995,1950.0,,,,2859.0,0.315959,0.046,NASA
2MASS J0249-0557A,,15255.84,,,,,,,,ExoplanetEU
2MASS J0249-0557B,,13984.519999999999,,,,,,,,ExoplanetEU
2MASS J0253+3206,21.297099999999997,20690.732999999997,,,,2628.0,,,,ExoplanetEU
2MASS J0310+1648,,14302.349999999999,,,,,,,,ExoplanetEU
2MASS J0310+1648 b,,14302.349999999999,5.2,27010.0,,,,,,ExoplanetEU
2MASS J0318-3421,10.872729999999999,15567.3134,,,,1344.0,,,,ExoplanetEU
2MASS J0320-0446 b,,,0.395,246.73,,1350.0,2300.0,,0.081,ExoplanetEU
2MASS J0320-0446 c,,11124.05,8.3,,,,2300.0,,0.081,ExoplanetEU
2MASS J0323-4631,10.939983999999999,498.99309999999997,,,,2701.0,,,,ExoplanetEU
2MASS J0325+0425,10.648549999999998,14178.396299999999,,,,1015.0,,,,ExoplanetEU
2MASS J0326-2102,14.79588,5720.94,,,,1359.0,,,,ExoplanetEU
2MASS J0328+2302,10.98482,17296.3086,,,,1466.0,,,,ExoplanetEU
2MASS J0337-1758,,19228.715,,,,,,,,ExoplanetEU
2MASS J0337-1758 b,,,2.52,,,615.0,,,,ExoplanetEU
2MASS J0338-3334,,13666.689999999999,,,,2800.0,,,,ExoplanetEU
2MASS J0342-6817,16.58932,5403.11,,,,1650.0,,,,ExoplanetEU
