pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
K2-320 b,2.61999995466,7.3736559999999995,0.0142,1.995,,698.0,3157.0,0.3,0.117,NASA
K2-321 b,2.051247,4.862799,0.02839,2.2979749,68.5516,830.0,3750.0,0.595,0.578,NASA
K2-322 b,1.92000003437,4.354271,0.0594,8.205,,635.0,4141.0,0.602,0.63,NASA
K2-323 b,2.0999999850499997,5.053497,0.1275,24.93,,318.0,3710.0,0.549,0.478,NASA
K2-324 b,2.43000000672,6.483732,0.0331,3.262,,707.0,3752.0,0.505,0.517,NASA
K2-325 b,2.19999995765,5.466676,0.0419,6.93,,423.0,3287.0,0.298,0.274,NASA
K2-326 b,2.2800000478199998,5.816288999999999,0.0198,1.256,,1114.0,3924.0,0.688,0.507,NASA
K2-327 b,1.04703269,,0.0349,6.7987,,,3648.0,0.282,0.287,ExoplanetEU
K2-328 b,0.90804109,,0.0296,2.0478,,,4520.0,0.655,0.727,ExoplanetEU
K2-329 Ab,8.675766,82.6358,0.1016,12.4551225,,650.0,5282.0,0.822,0.901,ExoplanetEU
K2-329 b,8.675766,82.6358,0.1016,12.4551225,45.7,650.0,5282.0,0.822,0.901,NASA
K2-33 b,5.03999996412,1175.971,0.0409,5.424865,,850.0,3540.0,1.05,0.56,NASA
K2-330 b,2.7697439,,0.1205,13.774798,,969.0,6232.0,1.5,1.23,ExoplanetEU
K2-331 b,1.7900773,,0.09,9.398977,,909.0,5994.0,1.06,1.1,ExoplanetEU
K2-331 c,2.7204243,,0.163447,22.996591,,673.0,5994.0,1.06,1.1,ExoplanetEU
K2-332 b,2.196964,,0.08597,17.70632,,266.0,3315.0,0.28,0.27,ExoplanetEU
K2-333 b,6.1795217,,0.1201,14.759287,,827.0,6177.0,1.22,1.06,ExoplanetEU
K2-334 b,5.6504569,,0.06439,5.113981,,1380.0,6224.0,1.49,1.36,ExoplanetEU
K2-335 b,2.2104147999999997,,0.11168,12.283211,,949.0,6222.0,1.33,1.23,ExoplanetEU
K2-336 b,1.2195391999999998,,0.1426,21.194733,,569.0,5424.0,0.8,0.86,ExoplanetEU
K2-337 b,2.6195432999999997,,0.1231,16.273563,,850.0,5869.0,1.32,0.94,ExoplanetEU
K2-338 b,1.0301071,,0.04188,3.850614,,783.0,4558.0,0.63,0.66,ExoplanetEU
K2-339 b,1.9201017,,0.12833,19.507428,,508.0,4857.0,0.72,0.74,ExoplanetEU
K2-34 b,13.750023694549999,539.67534,0.0442,2.9956348,963.566,1687.0,6168.0,1.42,1.16,NASA
K2-340 b,3.3604582,,0.18345,29.740451,,606.0,5532.0,1.13,0.93,ExoplanetEU
K2-341 b,3.2102576,,0.2142,36.552551,,598.0,5817.0,1.16,0.98,ExoplanetEU
K2-342 b,2.0299499,,0.10044,11.561052,,861.0,5920.0,1.09,1.01,ExoplanetEU
K2-343 Ab,1.6499648,,0.03057,2.787174,,653.0,3804.0,0.46,0.49,ExoplanetEU
K2-343 Ac,2.0198617999999997,,0.06,7.676972,,465.0,3804.0,0.46,0.49,ExoplanetEU
K2-344 b,1.5905570999999998,,,3.35585,,722.0,4374.0,0.49,0.51,ExoplanetEU
K2-345 b,2.0803903999999998,,0.07673,10.367437,,437.0,3779.0,0.52,0.56,ExoplanetEU
K2-346 b,2.2597344,,0.154,26.201446,,450.0,4801.0,0.7,0.71,ExoplanetEU
K2-347 b,2.409935,,0.063488,7.187257,,640.0,4599.0,0.63,0.66,ExoplanetEU
K2-348 b,3.2595772,,0.05154,4.688418,,908.0,5077.0,0.85,0.83,ExoplanetEU
K2-348 c,2.6699838,,0.09937,12.550171,,655.0,5077.0,0.85,0.83,ExoplanetEU
K2-349 b,1.3798279,,0.06915,9.032178,,518.0,4385.0,0.49,0.54,ExoplanetEU
K2-35 b,1.31999997459,2.3010892,0.031,2.399964,211.0,979.0,4402.71,0.619575,0.701968,NASA
K2-35 c,1.93000003163,4.386054,0.055,5.608352,68.0,766.0,4402.71,0.619575,0.701968,NASA
K2-350 Ab,1.5401166,,0.0503,4.163873,,1158.0,5789.0,1.04,0.98,ExoplanetEU
K2-350 Ac,2.7394796,,0.1432,19.991944,,687.0,5789.0,1.04,0.98,ExoplanetEU
K2-351 b,2.5399594,,0.07755,7.806164,,934.0,5769.0,1.05,1.02,ExoplanetEU
K2-352 b,1.9055300000000002,,,8.23,,,,,,ExoplanetEU
K2-352 c,2.196964,,,14.87,,,,,,ExoplanetEU
K2-352 d,1.9201017,,,3.665912,,727.0,,,,ExoplanetEU
K2-353 Ab,5.5495759,,0.116,15.466805,,735.0,5698.0,0.99,0.87,ExoplanetEU
K2-354 b,1.5602927999999998,,,3.793306,,543.0,3669.0,0.41,0.43,ExoplanetEU
K2-355 b,2.2500038670999998,5.689157,0.0632,5.7385647,,1066.0,5790.0,0.92,0.96,NASA
K2-356 b,2.29000396823,5.848071999999999,0.1599,21.0267366,,624.0,5568.0,0.86,0.9,NASA
K2-357 b,3.72000637866,13.34886,0.145,16.3488637,,735.0,5794.0,1.0,0.98,NASA
K2-358 b,2.680004646,7.6597029999999995,0.0863,11.2510285,,888.0,5650.0,0.91,0.93,NASA
K2-359 b,1.502006,,0.01536,0.72091,,,5382.73,1.087,0.93,ExoplanetEU
K2-36 Bb,1.434752,3.8997740999999997,0.0223,1.422614,,1224.0,4772.39,0.754,0.769,ExoplanetEU
K2-36 Bc,3.1194647,7.799548199999999,0.054,5.3410507,,788.0,4772.39,0.754,0.769,ExoplanetEU
K2-36 b,1.4300024104299998,4.3000205973,0.02288,1.422614,519.0,1328.0,4916.0,0.718,0.79,NASA
K2-36 c,3.20000551233,7.900039689399999,0.05528,5.340888,89.0,854.0,4916.0,0.718,0.79,NASA
K2-360 b,1.56500058,7.669237899999999,0.0177,0.87724,,2038.0,5711.17,0.99,1.018,ExoplanetEU
K2-360 c,4.024031,15.2300767002,0.0883,9.79692,115.0,912.0,5679.0,0.98,0.958,NASA
K2-361 b,1.199363,,0.013596,0.578657,,,5627.0,0.912,1.0,ExoplanetEU
K2-361 c,2.2978449999999997,,0.1015,11.811437,,,5627.0,0.912,1.0,ExoplanetEU
K2-362 b,0.9897547,,0.01606,0.762406,,,5620.0,0.89,0.95,ExoplanetEU
K2-363 b,1.098482,,0.0118,0.728113,,932.0,3506.0,0.4239,0.418,ExoplanetEU
K2-365 b,2.90604534,8.6513326,0.1503,23.448172,,710.0,5568.0,1.057,0.982,ExoplanetEU
K2-366 b,2.3590461400000002,6.340708499999999,0.1207,15.937039,,770.0,5601.0,0.94,0.825,ExoplanetEU
K2-367 b,2.4130735199999997,6.4710187999999995,,20.645099,,450.0,4348.0,0.625,0.756,ExoplanetEU
K2-368 b,1.48698594,,0.052109,5.02629,,,4663.0,0.663,0.746,ExoplanetEU
K2-368 c,2.13206389,,0.131675,20.2009,,,4663.0,0.663,0.746,ExoplanetEU
K2-368 d,1.55300695,,0.080477,9.65869,,,4663.0,0.663,0.746,ExoplanetEU
K2-369 b,1.3130222599999999,2.193027,0.0586,5.761612,,1080.0,5682.0,0.881,0.735,ExoplanetEU
K2-37 b,1.39000242139,2.510857,0.05105,4.4434,193.0,949.0,5352.0,0.809,0.84,NASA
K2-37 c,2.4100041595299997,6.388382999999999,0.06534,6.42966,118.0,839.0,5352.0,0.809,0.84,NASA
K2-37 d,2.31000396275,12.500063202,0.1102,14.09229,41.3,646.0,5352.0,0.809,0.84,NASA
K2-370 b,2.5197832,11.092267,0.0321,2.1408091,,1420.0,5377.0,0.971,0.984,ExoplanetEU
K2-371 b,13.002439999999998,1496.9793,0.0297,3.114905,,1000.0,4925.0,0.736,0.958,ExoplanetEU
K2-372 b,2.9450526599999995,9.185286999999999,0.0857,9.844077,,870.0,5479.0,0.922,0.847,ExoplanetEU
K2-373 b,2.06099883,5.148846,0.1087,11.02066,,1130.0,5980.0,1.53,1.099,ExoplanetEU
K2-374 b,1.5930230799999998,3.6200837,0.0494,4.521953,,1210.0,5786.0,0.929,1.04,ExoplanetEU
K2-374 c,2.21299287,5.7114050999999995,0.117,16.43445,,790.0,5786.0,0.929,1.04,ExoplanetEU
K2-375 b,2.24303299,5.8290022,0.1206,14.453895,,1000.0,5826.0,1.548,1.05,ExoplanetEU
K2-376 Ab,1.73604992,4.100007,0.0608,5.776475,,1240.0,6044.0,1.133,1.124,ExoplanetEU
K2-377 b,1.69300736,3.9315571,0.0975,12.832235,,530.0,4314.0,0.698,0.674,ExoplanetEU
K2-378 b,2.8795921,9.020015399999998,0.0442,2.060438,,1130.0,4823.0,0.732,0.923,ExoplanetEU
K2-379 b,2.18104722,5.5906297,0.1256,8.777247,,680.0,4603.0,0.751,0.856,ExoplanetEU
K2-38 b,1.54000260447,7.300037037099999,0.04994,4.01593,426.0,1266.0,5731.0,1.06,1.03,NASA
K2-38 c,2.29000396823,8.3000414576,0.09514,10.56103,117.0,916.0,5731.0,1.06,1.03,NASA
K2-380 Ab,2.7290552299999997,7.9584632,0.0953,9.401312,,1110.0,5911.0,1.32,0.993,ExoplanetEU
K2-381 b,2.2205029,,0.11306,16.0343,,,4473.0,0.675,0.754,ExoplanetEU
K2-381 c,0.9960317399999999,,0.07,7.9388,,,4473.0,0.675,0.754,ExoplanetEU
K2-381 d,1.6850489699999998,,0.159237,26.8054,,,4473.0,0.675,0.754,ExoplanetEU
K2-382 b,2.07198365,5.148846,0.1577,,,610.0,5452.0,0.811,0.922,ExoplanetEU
K2-383 b,1.56399177,3.2609358,0.0307,1.865962,,1270.0,5129.0,0.804,1.061,ExoplanetEU
K2-384  e,1.34496791,,,9.715043,,,3623.0,0.348,0.33,ExoplanetEU
K2-384 b,1.0759519100000001,,,2.231527,,,3623.0,0.348,0.33,ExoplanetEU
K2-384 c,1.19095625,,,4.194766,,,3623.0,0.348,0.33,ExoplanetEU
K2-384 d,1.3920457099999999,,,6.679582,,,3623.0,0.348,0.33,ExoplanetEU
K2-384 f,2.2220721599999997,,,13.62749,,,3623.0,0.348,0.33,ExoplanetEU
K2-385 b,1.5389957,3.2100829999999996,0.03596,2.380867,,1100.0,4844.0,0.761,0.927,ExoplanetEU
K2-386 Ab,2.3202629999999997,6.210398199999999,0.07255,7.473223,,1010.0,5749.0,0.97,0.911,ExoplanetEU
K2-387 b,7.322055069999999,45.459224899999995,0.1523,28.735327,,310.0,3572.0,0.585,0.57,ExoplanetEU
K2-388 b,3.6597385,13.094596,0.0633,6.339069,,970.0,5367.0,0.897,0.842,ExoplanetEU
K2-389 b,2.18396156,5.6510174,0.0762,8.584043,,1050.0,5782.0,1.084,0.802,ExoplanetEU
K2-389 c,2.040038,5.260086499999999,0.1378,20.851337,,780.0,5782.0,1.084,0.802,ExoplanetEU
K2-39 b,6.27704,28.604699999999998,0.05708,4.60543,1356.0,1670.0,4881.0,2.97,0.66,NASA
K2-390 b,4.66574625,20.2267012,0.0402,3.312792,,1310.0,5558.0,0.789,0.966,ExoplanetEU
K2-391 b,1.37097279,2.4886089,0.0495,4.622654,,900.0,5543.0,0.566,0.757,ExoplanetEU
K2-392 b,1.849485,4.4496199999999995,0.1143,15.398723,,840.0,5726.0,1.058,0.841,ExoplanetEU
K2-393 b,2.3519844699999997,6.340708499999999,0.0895,10.413181,,950.0,5678.0,1.071,0.881,ExoplanetEU
K2-394 b,1.6919985499999999,3.9315571,0.05048,5.095717,,890.0,4197.0,0.704,0.66,ExoplanetEU
K2-395 b,2.59701321,7.640633199999999,0.0548,4.803352,,910.0,5007.0,0.783,0.952,ExoplanetEU
K2-395 c,3.3949819199999998,11.8105628,0.0801,8.491282,,750.0,5007.0,0.783,0.952,ExoplanetEU
K2-396 b,1.57901183,3.400781,0.0148,0.673862,,1990.0,5236.0,0.92,0.954,ExoplanetEU
K2-396 c,3.12406039,10.011645,0.1681,25.76051,,590.0,5236.0,0.92,0.954,ExoplanetEU
K2-397 b,2.4169966699999996,6.7411743,0.0447,3.572326,,1210.0,5387.0,0.966,0.937,ExoplanetEU
K2-398 b,2.27396983,6.0800879,0.0664,6.393025,,1240.0,5946.0,1.239,0.945,ExoplanetEU
K2-398 c,5.098077379999999,23.4113578,0.1362,18.787839,,870.0,5946.0,1.239,0.945,ExoplanetEU
K2-4 b,2.0999999850499997,5.053497,0.078,10.003417,15.6,563.0,4014.73,0.569359,0.635026,NASA
K2-400 b,1.16304584,1.6495377,0.0347,3.865053,,570.0,3578.0,0.382,0.374,ExoplanetEU
K2-401 b,2.2619762,5.8290022,0.05857,6.293099,,660.0,4328.0,0.68,0.676,ExoplanetEU
K2-402 b,2.67805428,7.786835,0.1283,17.27474,,870.0,5716.0,1.28,0.944,ExoplanetEU
K2-403 b,5.33301802,24.9115154,0.1879,33.589979,,,5511.0,0.886,0.784,ExoplanetEU
K2-404 b,2.5298713,7.3291598,,13.115365,,450.0,3748.0,0.552,0.552,ExoplanetEU
K2-405 b,4.56901258,18.631194599999997,0.045,3.435471,,980.0,4927.0,0.765,1.034,ExoplanetEU
K2-406 Ab,4.60207913,20.039181499999998,0.15678,22.549406,,720.0,5666.0,0.9688,1.01,ExoplanetEU
K2-407 b,1.28298214,2.1103912,0.05445,4.941907,,1110.0,5563.0,0.927,0.881,ExoplanetEU
K2-407 c,1.3596517,2.4886089,0.08267,9.22453,,900.0,5563.0,0.927,0.881,ExoplanetEU
K2-408 b,1.6769784899999998,3.8902391999999995,0.139,20.978959,,610.0,5335.0,0.784,0.813,ExoplanetEU
K2-409 b,2.4820088699999996,6.7411743,0.02893,1.908084,,1800.0,5644.0,1.275,1.0,ExoplanetEU
K2-411 b,0.9898016657100001,0.9375984999999999,0.0511,3.2141,619.038,,5711.0,1.375,1.018,NASA
K2-412 b,2.1160036348,5.117063,0.0586,5.9382,243.518,,5590.0,0.977,0.893,NASA
K2-413 b,0.75990126465,0.3623262,0.0117,0.8094,921.755,,4116.0,0.7,0.808,NASA
K2-413 c,1.23270215288,2.0468252000000002,0.0426,5.3301,69.529,,4116.0,0.7,0.808,NASA
K2-414 b,1.21900206472,1.9769025999999998,0.0487,4.3696,72.113,,4343.0,0.732,0.814,NASA
K2-414 c,1.9287033745099997,4.386054,0.0552,6.669,56.13,,4343.0,0.732,0.814,NASA
K2-415 b,1.01500173951,7.5000379212,0.027,4.0179694,4.82,412.4,3173.0,0.1965,0.1635,NASA
K2-416 b,2.66000453939,1652.716,0.088,13.102,,447.0,3746.0,0.554,0.548,NASA
K2-417 b,3.31000570637,699.226,0.063,6.535,,558.0,3861.0,0.5776,0.569,NASA
K2-418 b,2.3303511,10.393041,0.124,16.141132,,804.0,5868.0,1.0,0.97,ExoplanetEU
K2-419 A b,10.547668999999999,196.10110999999998,0.1208,20.35847252,3.3,377.0,3711.0,0.541,0.562,NASA
K2-419 Ab,10.547668999999999,196.10110999999998,0.1208,20.35847252,,377.0,3711.0,0.541,0.562,ExoplanetEU
K2-42 b,2.14999997135,5.275977999999999,0.0617,6.68796,44.1,,4613.0,0.643,0.702,NASA
K2-43 b,4.50999999725,18.529488999999998,0.03784,3.471149,49.0,939.3,3840.6,0.542,0.571,NASA
K2-43 c,2.421144,,0.0148,2.198884,,1094.0,3840.6,0.54,0.57,ExoplanetEU
K2-44 b,2.4329999834800002,6.483732,0.06,5.657,646.0,1211.0,5912.0,1.58,1.15,NASA
K2-45 b,6.709999954900001,36.23262,0.0224,1.7292684,100.0,1073.56,4103.0,0.445,0.503,NASA
K2-46 b,2.0499999987499997,4.862799,0.13821,19.1541,119.0,889.0,6256.0,1.29,0.96,NASA
K2-47 b,1.8900000425899999,4.227138999999999,0.1779,31.6372,10.7,,5054.0,0.76,0.75,NASA
K2-48 b,2.23999994669,5.657374,0.1344,20.5065,15.3,,4899.0,0.73,0.77,NASA
K2-49 b,1.93000003163,4.386054,0.0309,2.77065,59.0,,4175.0,0.45,0.51,NASA
K2-5 b,1.9100000371099999,4.322488,0.0532,5.73594,24.1,565.0,3930.0,0.57,0.61,NASA
K2-5 c,2.2600000532999998,5.72094,0.0818,10.93241,10.2,456.0,3930.0,0.57,0.61,NASA
K2-50 b,1.5900000127,3.1560518999999996,0.0705,8.7529,18.8,,4326.0,0.546,0.611,NASA
K2-50 c,0.997601,,,3.96151,,,,,0.61,ExoplanetEU
K2-52 b,17.99999999996,,0.054,3.535055,1124.0,2004.0,7147.0,2.192,1.691,NASA
K2-53 b,2.59999996014,7.278307,0.098,12.20772,52.5,665.0,5263.0,0.807,0.851,NASA
K2-54 Bb,1.1545269999999999,,0.0671,9.7843,,,3996.0,0.637,0.617,ExoplanetEU
K2-54 b,2.611697,7.341873,0.0761,9.7833,6.1,560.0,3990.0,0.643,0.615,NASA
K2-55 b,4.43000764129,44.0002199284,0.03486,2.849271,141.3,900.0,4300.0,0.715,0.688,NASA
K2-57 b,2.3090539999999997,5.943421,0.0752,9.0073,24.1,635.8,4413.0,0.671,0.699,NASA
K2-58 b,2.68000005031,7.6597029999999995,0.0692,7.05254,118.0,,5413.0,0.86,0.89,NASA
K2-58 c,1.6200000044799998,3.241866,0.035,2.53726,462.0,,5413.0,0.86,0.89,NASA
K2-58 d,1.70999997982,3.5596959999999997,0.1517,22.8827,24.6,,5413.0,0.86,0.89,NASA
K2-59 b,2.4100000122,6.388382999999999,0.1354,20.6921,17.1,,5055.0,0.731,0.774,NASA
K2-59 c,2.3000000423399998,5.911637999999999,0.0905,11.2954,38.3,,5055.0,0.731,0.774,NASA
K2-6 b,2.49999998754,6.801562,0.1898,30.94191,28.6,615.0,5850.0,0.96,0.97,NASA
K2-60 b,7.655747000000001,135.39558,0.045,3.00265,1212.0,1400.0,5500.0,1.12,0.97,NASA
K2-61 b,1.92000328498,4.354271,0.0392,2.57336,730.0,1325.0,5748.0,0.995,0.97,NASA
K2-62 b,2.02000348176,4.735666999999999,0.0636,6.67199,46.7,666.0,4455.0,0.696,0.67,NASA
K2-62 c,1.99000337789,4.608535,0.1148,16.19697,14.3,495.0,4455.0,0.696,0.67,NASA
K2-63 b,3.22000001444,10.456606999999998,0.1627,20.257,188.0,,6771.0,1.63,1.4,NASA
K2-63 c,3.9000000523,14.461265,0.189,25.4556,139.0,,6771.0,1.63,1.4,NASA
K2-64 b,2.0699999932699997,4.926365,0.0619,6.53044,98.0,,5312.0,0.726,0.741,NASA
K2-65 b,1.58000001544,3.1210906,0.1014,12.6475,45.0,,5213.0,0.84,0.87,NASA
K2-66 b,2.48999999028,21.300000396799998,0.05983,5.06963,840.0,1372.0,5887.0,1.67,1.11,NASA
K2-68 b,1.58000001544,3.1210906,0.0708,8.05428,41.0,,4746.0,0.675,0.73,NASA
K2-69 b,2.32000003686,6.006987,0.0591,7.06599,17.9,,4127.0,0.491,0.551,NASA
K2-7 b,4.03524,15.319405999999999,0.1867,28.6781,125.0,786.0,5700.0,1.533,1.056,NASA
K2-70 b,2.88999999277,8.708542,0.1112,13.97896,62.0,,5622.0,0.93,0.94,NASA
K2-71 b,2.14999997135,5.275977999999999,0.0559,6.98541,13.4,,4006.0,0.426,0.477,NASA
K2-72 b,1.0800000403499999,1.2808548999999998,0.04,5.577212,8.5,,3360.47,0.330989,0.271365,NASA
K2-72 c,1.16000001843,1.6558943,0.078,15.189034,2.2,,3360.47,0.330989,0.271365,NASA
K2-72 d,1.00999994744,1.0075211,0.05,7.760178,5.4,,3360.47,0.330989,0.271365,NASA
K2-72 e,1.28999998281,2.2120968,0.106,24.158868,1.2,,3360.47,0.330989,0.271365,NASA
K2-73 b,2.5800044492199996,9.2000470252,0.07619,7.49556,209.0,968.0,5867.0,1.058,1.02,NASA
K2-73 c,,,,1000.0,,186.1,5867.0,1.058,1.02,ExoplanetEU
K2-74 b,2.3100000395999998,5.943421,0.1402,19.5666,59.1,,6060.0,0.98,0.96,NASA
K2-75 b,2.67000005305,7.596137,0.081,7.8142,430.0,,5995.0,1.56,1.16,NASA
K2-75 c,2.77000002565,8.104664999999999,0.1429,18.311,138.0,,5995.0,1.56,1.16,NASA
K2-77 b,2.499607,603.877,0.0753,8.2000844,58.0,806.0,5160.0,0.792,0.847,NASA
K2-79 b,4.09000706191,9.2000470252,0.0988,10.9947,181.0,1022.0,5897.0,1.265,1.066,NASA
K2-8 b,3.5800000278899997,12.522502,0.0856,10.35239,37.7,631.0,4870.0,0.74,0.78,NASA
K2-8 c,2.4100000122,6.388382999999999,0.0532,5.06416,97.8,801.0,4870.0,0.74,0.78,NASA
K2-80 b,2.0100000097099997,4.703884,0.135,19.0918,32.5,,5441.0,0.87,0.9,NASA
K2-80 c,1.4700000455799997,2.7619426999999996,0.0596,5.605,166.0,,5441.0,0.87,0.9,NASA
K2-80 d,2.555652,,,28.867253,,,5441.0,0.87,0.9,ExoplanetEU
K2-81 b,1.97000002067,4.544969,0.059,6.102325,62.9,,4674.13,0.634663,0.745273,NASA
K2-83 b,1.24400004025,2.0786081999999997,0.03014,2.74697,41.5,,3910.0,0.424,0.484,NASA
K2-83 c,1.4830000195999997,2.8032605999999998,0.07131,9.99767,7.42,,3910.0,0.424,0.484,NASA
K2-84 b,2.4100000122,6.388382999999999,0.0665,6.4215,178.0,,5652.0,0.93,0.95,NASA
K2-84 c,2.0300000042299997,4.767449999999999,0.1768,27.86,25.3,,5652.0,0.93,0.95,NASA
K2-85 b,1.40000241865,3.2000173239,0.013,0.68453862616,800.0,1355.0,4232.0,0.71,0.7,NASA
K2-86 b,1.96000002341,4.513186,0.077,8.77683,78.0,,5482.0,0.76,0.79,NASA
K2-87 b,7.60000004731,44.814029999999995,0.094,9.726618,85.0,979.0,5747.0,1.401,1.164,NASA
K2-88 b,1.22999999925,2.0404686,0.0345,4.6122,7.8,,3537.0,0.256,0.258,NASA
K2-89 b,0.6150000556699999,0.17003905,0.01462,1.096026,78.0,,3691.0,0.318,0.347,NASA
K2-9 b,2.2500000560399998,5.689157,0.091,18.4498,1.36,314.0,3390.0,0.31,0.3,NASA
K2-90 b,2.59999996014,7.278307,0.096,13.733314,10.2,502.0,4484.0,0.619,0.629,NASA
K2-90 c,1.29999998007,2.2407014999999997,0.035,2.900706,80.8,,4421.98,0.634754,0.704613,NASA
K2-91 b,1.1000000348699999,1.366669,0.0164,1.419549,46.0,,3622.0,0.284,0.292,NASA
K2-95 b,3.31000570637,10.965135,0.0525,10.1346454,,474.0,3566.0,0.4,0.41,NASA
K2-97 b,13.4508,174.48867,0.0854,8.407115,114.149,1566.0,4673.0,4.14,1.17,NASA
K2-98 b,5.066468,34.00781,0.0986,10.1367349,339.0,1185.0,6260.0,1.518,1.246,NASA
K2-99 b,11.88154,276.5121,0.153,18.24783,357.0,1184.0,6069.0,2.55,1.44,NASA
K2-99 c,12.55408,2669.772,1.43,522.2,,390.0,6069.0,2.55,1.44,NASA
KELT-1 Ab,12.890349999999998,8654.5109,0.02472,1.217514,,2423.0,6516.0,1.471,1.335,ExoplanetEU
KELT-1 b,12.44199,8654.5109,0.02466,1.217514,5165.92,2361.0,6516.0,1.471,1.335,NASA
KELT-10 b,15.681391,215.80657,0.0525,4.1662739,600.0,1377.0,5948.0,1.209,1.112,NASA
KELT-11 Ab,14.5717,61.97685,0.06229,4.736529,,1712.0,5370.0,2.72,1.438,ExoplanetEU
KELT-11 b,15.132150000000001,65.15514999999999,0.0623,4.73620865,1433.0,1712.0,5375.0,2.69,1.44,NASA
KELT-12 b,19.95202,301.9385,0.06708,5.031623,1749.0,1800.0,6279.0,2.37,1.591,NASA
KELT-14 b,19.537287,408.09371999999996,0.03005,1.7100566,826.113,1970.0,5720.0,1.52,1.239,NASA
KELT-15 Ab,16.454812,295.5819,0.04664,3.32,,,6003.0,1.481,1.181,ExoplanetEU
KELT-15 b,19.50366,416.3573,0.04613,3.32944,1612.7618,1642.0,6003.0,1.78,2.06,NASA
KELT-16 Ab,15.860735,874.0324999999999,0.02044,0.9689951,,,6236.0,1.36,1.211,ExoplanetEU
KELT-16 b,15.860735,874.0324999999999,0.02044,0.9689951,6992.0328,2453.0,6236.0,1.36,1.211,NASA
KELT-17 b,17.093725,416.3573,0.04881,3.0801716,3331.8707,2087.0,7454.0,1.645,1.635,NASA
KELT-18 Ab,17.575712,373.76807999999994,0.04573,2.8716082,,2077.0,6670.0,1.908,1.524,ExoplanetEU
KELT-18 b,17.59813,375.03939999999994,0.0455,2.8717518,3152.0,2085.0,6670.0,1.908,1.524,NASA
KELT-19 A b,21.40919,1293.5681,0.0637,4.6117093,2340.0,1935.0,7500.0,1.83,1.62,NASA
KELT-19 Ab,21.40919,1293.5681,,4.6117093,,1935.0,7500.0,1.83,1.62,ExoplanetEU
KELT-2 A b,15.132150000000001,540.3109999999999,0.05497,4.11379,3108.45,2080.0,6327.0,1.93,1.54,NASA
KELT-2 Ab,14.638954,472.29537999999997,0.05498,4.1137914,,,6148.0,1.842,1.31,ExoplanetEU
KELT-20 Ab,20.51247,1118.12594,0.0542,3.4741085,,2230.0,8981.0,1.561,2.0,ExoplanetEU
KELT-20 b,19.514869,1074.90106,0.0542,3.4741085,4362.5,2262.0,8720.0,1.565,1.76,NASA
KELT-21 Ab,17.755056,1233.1804,0.0536,3.6127732,,2025.0,7598.0,1.638,1.458,ExoplanetEU
KELT-21 b,17.777474,1242.7153,0.05224,3.6127647,2950.0,2051.0,7598.0,1.638,1.458,NASA
KELT-22 Ab,13.4508,1172.7927,0.0248,1.38665318,,1880.0,5700.0,1.11,1.05,ExoplanetEU
KELT-23 A b,14.829507,298.12453999999997,0.03302,2.255251,991.183,1561.0,5899.0,0.996,0.944,NASA
KELT-23 Ab,14.45961,297.80671,0.03523,2.25528756,,1513.0,5899.0,0.996,0.942,ExoplanetEU
KELT-24 b,12.711005999999998,1458.8397,0.0665,5.55149296,624.0,1391.0,6426.0,1.338,1.268,NASA
KELT-25 b,18.405178,6674.429999999999,0.0681,4.401131,,,8280.0,2.264,2.18,ExoplanetEU
KELT-3 Ab,15.132150000000001,467.21009999999995,0.04117,2.7033904,,,6518.0,1.61,1.34,ExoplanetEU
KELT-3 b,17.48604,616.5902,0.04123,2.70339,1704.57,1816.0,6304.0,1.7,1.96,NASA
KELT-4 A b,19.044091,286.68266,0.04317,2.9895932,1840.0,1823.0,6206.0,1.603,1.201,NASA
KELT-4 Ab,19.0553,286.04699999999997,0.04321,2.989594,,1827.0,6207.0,1.61,1.204,ExoplanetEU
KELT-6 b,14.5717,165.2716,0.07939,7.8457,718.188,1313.0,6102.0,1.73,1.42,NASA
KELT-6 c,13.002439999999998,1179.1493,2.39,1276.0,,,6272.0,1.529,1.126,NASA
KELT-7 b,17.9344,441.78369999999995,0.04415,2.73477,1775.39,2048.0,6768.0,1.81,1.76,NASA
KELT-8 b,18.15858,209.7678,0.0455,3.24406,983.3098,1675.0,5754.0,1.46,0.81,NASA
KELT-9 Ab,21.700623999999998,915.3503999999999,0.03368,1.4811235,,3921.0,10170.0,2.362,2.52,ExoplanetEU
KELT-9 b,21.196219,915.3503999999999,0.03462,1.4811235,44900.0,4050.0,10170.0,2.362,2.52,NASA
KIC 10255705 b,7.28585,,1.6,707.3793,,295.0,5030.0,2.12,1.1,ExoplanetEU
KIC 10544976 (AB)b,,,6.56,6136.0,,,,,,ExoplanetEU
KIC 10848807 (AB)b,,,2.25,785.0,,,5965.15,2.302,1.42,ExoplanetEU
KIC 10916675 (AB)b,,19069.8,3.7,1626.0,,,6874.0,2.392,1.27,ExoplanetEU
KIC 11152511 b,4.03524,,0.85,287.363,,390.0,5273.0,2.08,1.01,ExoplanetEU
KIC 12454613 b,2.555652,,1.54,736.3819,,187.0,5420.0,0.82,0.87,ExoplanetEU
KIC 2576692 (AB)b,,,5.03,2884.0,,,5691.87,2.17,1.01,ExoplanetEU
KIC 3338660 (AB)b,,,2.07,752.0,,,6005.26,2.391,1.45,ExoplanetEU
